PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,47.0,2.0,306.0
347.0,306.0,67.0,7.0,14.0,59.0,17.0,347.0
280.0,194.0,41.0,8.402852049910873,16.427413411938097,49.0,11.0,280.0
211.0,141.6742671009772,83.0,11.0,16.427413411938097,36.0,29.813642756680732,211.0
299.0,150.0,61.0,3.0,7.0,73.0,10.0,299.0
349.0,253.0,208.0,20.0,16.427413411938097,81.0,3.0,349.0
304.0,196.0,105.0,8.402852049910873,19.0,43.0,16.0,304.0
255.0,181.0,42.0,8.402852049910873,16.427413411938097,83.0,17.0,255.0
332.0,211.0,96.0,13.0,18.0,40.0,10.0,332.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,54.0,7.0,306.0
347.0,223.0,44.0,18.0,15.0,64.0,29.813642756680732,347.0
323.0,141.6742671009772,48.0,8.402852049910873,13.0,27.0,10.0,323.0
305.0,162.0,42.0,11.0,8.0,43.0,17.0,305.0
318.0,141.6742671009772,60.0,14.0,16.427413411938097,47.0,25.0,318.0
349.0,222.0,60.0,17.0,20.0,57.0,10.0,349.0
296.0,214.0,41.0,8.402852049910873,16.427413411938097,72.0,6.0,296.0
320.0,209.0,71.0,10.0,22.0,76.0,15.0,320.0
302.0,200.0,30.0,21.0,5.0,45.0,17.0,302.0
306.0,186.0,72.0,10.0,25.0,69.0,7.0,306.0
336.0,214.0,61.0,16.0,16.0,52.0,17.0,336.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,42.0,17.0,306.0
248.0,200.0,85.0,6.0,18.0,42.0,17.0,248.0
344.0,225.0,33.0,16.0,6.0,37.0,7.0,344.0
348.0,141.6742671009772,107.0,8.402852049910873,11.0,62.0,8.0,348.0
320.0,235.0,83.0,9.0,8.0,56.0,29.0,320.0
324.0,209.0,51.0,13.0,11.0,62.0,20.0,324.0
